id,name,description,context,version,provider,status,production_endpoint,enable_CORS,accessControlAllowHeaders,accessControlAllowMethods,authType,application_name,isDefaultVersion,intial_Duration,maxDuration,Timeout_Duration
943b8511-5f81-43ea-9379-9fab5dbadcc1,TestCertificate,null,/TestCertificate/rest/service,1.0,admin,PROTOTYPED,null,false,,,,,false,,,
aa8b09c2-51d7-490a-ac6d-ebeeb1b0fd7a,TestClaimService,null,/TestClaimService,1.0,admin,CREATED,null,false,,,,,false,,,
710a734d-a0fe-480f-824d-a424bd0da732,TestPaymentResultService,null,/TestPaymentResultService/rest/service,v1.0,admin,PUBLISHED,null,false,,,,,false,,,
74f2ddbc-7ca9-4948-a56b-91f89888f9b0,TestRestAPI,TestAPI,/TestWS/rest/data/get,1.0,admin,PUBLISHED,null,false,,,, ,false,,,
feb4646f-855f-43f4-8ce2-8ffbe8cc5812,TestRestFulBootton,null,/TestRestFulBootton/rest/service,1.0,admin,PUBLISHED,null,false,,,,,false,,,
d9718928-5ee1-46dc-a80e-4c10f8397981,Testsye_API,Register API for Test SSL Ceritification,/ApiGrouplife/checkExistingMember,v1.0,admin,CREATED,null,false,,,,,false,,,
88571073-7f9d-4e17-89ff-1f7749b965f8,TestThaiString,test text thai,/TestThaiString/rest/service,1.0,admin,PUBLISHED,null,false,,,,,false,,,
04cdb8c9-6b40-426e-b972-55dd725dc2ec,TestThaiStrService,null,/TestThaiStrService/rest/service,1.0,admin,CREATED,null,false,,,,,false,,,
15b201e6-d3e1-4e9f-8dc8-dc3cc743f99d,TestWaitingApi,test waiting time on wso2,/testWaitingApiService,1.0,admin,PUBLISHED,null,false,,,,,false,,,
8c18b08b-6a63-476a-97ac-b8b250266d96,TestWSTackAPI,test WS,/TackWS/rest/data/get,1.0,admin,PUBLISHED,null,false,,,,,false,,,
b1613f8f-cbf1-48d2-b1db-ff001556d90e,TL-LifeFitAPI,null,/TL-LifeFitAPI,1.0,admin,PUBLISHED,null,false,,,, ,false,,,
e6825069-d287-439a-a82d-1587676e68e8,TLAgencyBlacklistWS,null,/TLAgencyBlacklistWS,1.0,admin,PUBLISHED,null,false,,,,,false,,,
b11ef2bf-6d3a-4fd8-8cf3-2b6bd58d324d,TLAlfresco,null,/TLAlfresco,1.0,admin,PUBLISHED,null,false,,,,,false,,,
9fc80f5b-eac0-4013-91b5-9a390fc207ab,TLAutoPaymentInquiry,null,/TLAutoPaymentInquiry/rest/profile,1.0,admin,PUBLISHED,null,false,,,,,false,,,
9c2afa9f-e98e-49b2-9737-308589612ecf,TLAYCAPInstallmentPayment,Request to pay AYCAP,/TLAYCAPInstallmentPayment/rest,1.0,admin,PUBLISHED,null,false,,,,,false,,,
11cafc80-52c2-4968-a8c6-16ac37bb50eb,TLCheckAutoPayment,null,/TLCheckAutoPayment/rest/profile,1.0,admin,PUBLISHED,null,false,,,,,false,,,
4328d675-9be0-4a8b-9c99-b76551e69aac,TLCheckCreditRegistrationResult,null,/TLCheckCreditRegistrationResult/rest/service,1.0,admin,PUBLISHED,null,false,,,,,false,,,
e15fba24-d8b2-40e1-a28a-31dfe7b65cd0,TLCheckProductChannel,null,/TLCheckProductChannel/rest/product,1.0,admin,PUBLISHED,null,false,,,,,false,,,
03bc3e03-acb1-4e7c-b33a-7c8ba7d928a4,TLcheckStatusSA,TL Check Status Single Account,/LifeFitAPI/rest/login/checkStatusSA,1.0,admin,PUBLISHED,null,false,,,, ,false,,,
c81cc5ae-478e-41ce-83dc-7d7fc969688a,TLFormSb-InsertDataOrd,InsertDataOrd,/tlFormSbService/insertOrd,1.0,admin,PUBLISHED,null,false,,,, ,false,,,
98064f32-027f-48af-bbcc-113a20941716,TLgetProspectProfile,Get Prospect Profile Detail,/LifeFitAPI/rest/login/getProspectProfile,1.0,admin,PUBLISHED,null,false,,,, ,false,,,
109925d5-f173-42b1-915f-ef78190eced2,TLGWCBSPayment,Cybersource Gateway ,/TLGWCBSPayment/rest/gatewaycbs,1.0,admin,PUBLISHED,null,false,,,,  ,false,,,
a45f7203-9fb3-4cd8-a044-bc52ee03b6a0,TLGWCBSPaymentResult,null,/TLGWCBSPaymentResult/rest,1.0,admin,PUBLISHED,null,false,,,,,false,,,
89726160-a581-4d84-8341-5833b03f0546,TLGWCybersource,Gateway Cybersource reply response.,/TLGWCybersource/rest/callback/payment,1.0,admin,PUBLISHED,null,false,,,, ,false,,,
